OBJECTID,Request_ID,Create_Date,Department,Request_Type,Address,District,Status,Close_Date,Origin,Latitude,Longitude,Year,GlobalID,created_user,created_date,last_edited_user,last_edited_date,x,y
1558,319203,1611597540000,FAQ,Ask 3-1-1,,,Closed,1611597540000.0,Call Center,0.0,0.0,2021,{3DAE596F-EFE7-46F7-8EBB-4F55EA33E1FB},,,,,NaN,NaN
1559,319204,1611597960000,Sanitation Department,Missed Pick Up,EAST FOURTH ST (OP),3.0,Closed,1611949080000.0,Call Center,32.3628134,-86.2849601,2021,{370D9384-127F-4EAB-B765-D92667B26978},,,,,516714.126080662,677900.4999104887
1560,319205,1611598080000,Code Enforcement,Nuisance,109 DUNN DR,2.0,Closed,1611672720000.0,Call Center,32.3799336,-86.2690856,2021,{AF8A3DCB-6A31-4573-82DE-00B808F89908},,,,,521641.2310558297,684108.7240425721
1561,319206,1611598140000,Code Enforcement,Nuisance,205 DUNN DR,2.0,Closed,1611672360000.0,Call Center,32.3793544,-86.2689269,2021,{B811D113-00B7-4579-AFBA-C8309E57C137},,,,,521689.3674424961,683897.8041888252
1562,319207,1611598140000,Code Enforcement,Nuisance,207 DUNN DR,2.0,Closed,1611672360000.0,Call Center,32.3791346,-86.2689666,2021,{2CCCFCF0-8DAC-41E6-BBEF-AFC0220E9C46},,,,,521676.78544666246,683817.8880100697
1563,319208,1611598200000,Building Maintenance,COM Electrical,1018 MADISON AVE,3.0,Closed,1611602400000.0,Call Center,32.3798182,-86.2944834,2021,{A1CFB8D9-92CF-4F38-BECC-8106323409CE},,,,,513800.1706224941,684099.6062786579
1564,319209,1611598740000,Sanitation Department,Exchange Damage Container,501 FEDERAL DR,3.0,Closed,1612211760000.0,Call Center,32.3861427,-86.2728138,2021,{43701438-0DAD-4053-9ED5-81B553B05763},,,,,520499.5315675773,686372.3848695755
1565,319210,1611598860000,Sanitation Department,Leaves and Debris Pick up,3600 CLOVERDALE RD,7.0,Closed,1611776100000.0,Call Center,32.337353,-86.2922117,2021,{6333BE42-12FB-4159-86AA-D933C3E903DE},,,,,514435.27237066254,668647.2303593233
1566,319211,1611599520000,Sanitation Department,Exchange Damage Container,3718 FREEMAN CT,2.0,Closed,1611926340000.0,Call Center,32.3940587,-86.2475837,2021,{8B6EAEA7-4FE8-4F7E-BBE9-D7F6BCE7930E},,,,,528299.2498919964,689221.2489224896
1567,319212,1611599700000,Sanitation Department,Schedule A Bulk Pick Up***DO NOT USE***,WEST EDGEMONT AVE,4.0,Closed,1611753420000.0,Call Center,32.344,-86.3370386,2021,{2B07E39A-CA92-4DDC-9AF9-C144682F82DE},,,,,500601.04511791095,671127.7037448213
